id,title,published_date,address,category,meters,floor,rooms,price
22383378,"Beau 2,5 pièce avec Jardin",2019-11-11,Chemin du banc-vert | 1110 Morges,Apartment,,,2.5,1850.0
22383104,Loft à Morges,2019-11-11,1110 Morges,Loft,60,,1.5,1890.0
22373536,.,2019-11-08,Place Saint-Louis 1 | 1110 Morges,Commercial property,,Floor 3,,2770.0
22370827,Appartement vue lac à Morges,2019-11-08,rue de lausanne | 1110 Morges,Apartment,43,,2.0,1650.0
22368914,Belle maison de plain pied entièrement rénovée idéale pour une famille,2019-11-08,Morges | 1110 Morges,Villa,140,,6.5,4800.0
22368910,Belle maison de plain pied entièrement rénovée idéale pour une famille,2019-11-08,Morges | 1110 Morges,Villa,170,,8.0,5400.0
22367528,Superbe appartement de 3 pièces entièrement rénové avec balcon au 2...,2019-11-07,Av. Delay 4 | 1110 Morges,Apartment,66,Floor 2,3.0,2090.0
22364824,Magnifique grand 3 pièces sous les toits,2019-11-07,Banc-Vert 18 | 1110 Morges,Penthouse,,,3.0,1920.0
22362417,Furnished apartment,2019-11-07,Avenue Ignace-Paderewski | 1110 Morges,Furnished apartment,100,Ground floor,3.5,4300.0
22356946,Canton de Vaud : Churrascaria à vendre,2019-11-06,1110 Morges,Commercial property,,,,5500.0
22356945,Morges : Café Restaurant à remettre,2019-11-06,1110 Morges,Commercial property,,,,4600.0
22362414,APPARTEMENT AVEC TERRASSE,2019-11-06,1110 Morges,Apartment,106,Floor 1,4.5,3300.0
22354688,Magnifique arcade commerciale sur l'axe Morges-Crissier,2019-11-06,1110 Morges,Commercial property,,,3.5,1690.0
22354663,"A louer 4.5 Morges, bel appartement avec terrasse et jardin",2019-11-06,av des reneveyres | 1110 Morges,Apartment,,,4.5,2850.0
22355905,Lieu de vie calme,2019-11-06,Avenue de Chanel 35 | 1110 Morges,Apartment,70,Floor 3,3.0,1910.0
22353902,Appartement de 3.5 pièces proche de la gare,2019-11-06,Chemin Pré-Val 7 | 1110 MORGES,Apartment,73,Floor 2,3.5,2210.0
22351590,"I. COUVALOUP 5-7 - MORGES, Duplex",2019-11-06,Rue de Couvaloup 5 | 1110 Morges,Apartment,131,Floor 3,5.0,2710.0
22349821,Charmant 2 pièces en vieille ville de Morges,2019-11-05,Rue Traversière | 1110 Morges,Apartment,44,,2.0,1610.0
22351136,Superbe surface commerciale / 5.5 p / 4 bureaux / Balcon,2019-11-05,Rue des Vignerons 1 A | 1110 Morges,Commercial property,,,5.5,3877.0
22347471,Dans un quartier calme,2019-11-05,Chemin du Petit-Dézaley 2 | 1110 Morges,Apartment,78,Floor 2,3.0,1950.0
22343588,Morges :  Restaurant à vendre,2019-11-05,1110 Morges,Commercial property,,,,5100.0
22348427,Appartements neufs de 3 à 4 pièces sur 1 à 2 niveaux,2019-11-05,Rue de Lausanne | 1110 Morges,Apartment,,,3.0,1830.0
22340427,PREMIER LOYER OFFERT ! Splendide appartement à Morges !,2019-11-04,Avenue Paderewski 26 B | 1110 Morges,Apartment,99,Ground floor,3.5,2730.0
22339749,Agréable et spacieux appartement à remettre avec poste de conciergerie,2019-11-04,Avenue de Chanel 2 | 1110 Morges,Apartment,82,Ground floor,3.0,1980.0
22338371,PREMIER LOYER OFFERT ! Splendide appartement à Morges !,2019-11-04,Avenue Paderewski 26 B | 1110 Morges,Apartment,100,,3.5,2730.0
22335607,"Appart 2,5 pces en duplex avec cachet au centre de Morges",2019-11-03,Grand Rue 66 | 1110 Morges,Maisonette,63,,2.5,1550.0
22331746,Appartement 4.5 pièces à Morges,2019-11-02,Rue de l'Avenir 2 | 1110 Morges,Apartment,130,,4.5,3150.0
22322210,"Magnifique 4.5 pièces 120m2 avec vue, balcon 28m2",2019-10-31,Chemin de la Venardaz 4 | 1110 Morges,Apartment,120,Floor 2,4.5,2450.0
22346286,"Appartement, 3.5 pièce(s)",2019-10-31,Rue Traversière 1 | 1110 MORGES,Apartment,69,Floor 3,3.5,2250.0
22331459,"Appartement, 2.0 pièce(s)",2019-10-31,Rue Traversière 1 | 1110 MORGES,Apartment,44,Floor 1,2.0,1610.0
22308849,"Splendide 3,5 pièces meublé / 2 chambres / 90m2 / 6 mois / Jardin",2019-10-29,1110 Morges,Furnished apartment,90,Floor 1,3.0,3150.0
22338813,"Buchillon, 10 min. de Morges lumineux 5,5 en attique vue lac",2019-10-29,Rue Roger de Lessert | 1110 Morges,Apartment,130,,5.5,2750.0
22303022,"2.5 p. avec balcon, rénové haut de gamme, Hypercentre de Morges",2019-10-29,Place Saint-Louis 5 | 1110 Morges,Apartment,50,Floor 3,2.5,2000.0
22305559,Appartement de 3 pièces au rez supérieur,2019-10-28,Avenue de Marcelin 20 | 1110 Morges,Apartment,60,Ground floor,3.0,1610.0
22301292,Rue de Lausanne 9 à Morges,2019-10-28,1110 Morges,Apartment,90,Floor 2,3.5,2500.0
22380933,MORGES à côté de la gare 2.5 pièces,2019-10-27,Sablon 13 | 1110 Morges,Apartment,75,,2.5,2110.0
22282849,A louer aux portes de Morges !,2019-10-25,Route de Genève 32B | 1110 Morges,Apartment,141,,4.5,3000.0
22282720,La Côte : Adorable Café Restaurant à vendre,2019-10-24,1110 Morges,Commercial property,,,,3000.0
22282721,La Côte : Grand Restaurant Asiatique à vendre,2019-10-24,1110 Morges,Commercial property,,,,5100.0
22380965,Appart. cur du centre ville de Morges,2019-10-22,1110 Morges,Apartment,90,,3.5,1950.0
22255350,Reprise de bail 3.5 pièces,2019-10-21,Avenue de Lonay 27 | 1110 Morges,Apartment,80,,3.5,1570.0
22247464,Bel appartement 2.5 pièces à Morges disponible le 01.12.19!,2019-10-19,Avenue Muret 1 | 1110 Morges,Apartment,55,,2.5,1550.0
22246044,Appartement de 2.5 pièces au 2ème étage,2019-10-19,Rue de la Gare 21 | 1110 MORGES,Apartment,63,Floor 2,2.5,1650.0
22241913,"Magnifique appartement de 2,5 pièces en plein cur de Morges",2019-10-18,Rue de la Gare 11A | 1110 Morges,Apartment,56,,2.5,1675.0
22241738,Remise de bail à Morges,2019-10-18,Chemin du Bochet 13 A | 1110 Morges,Apartment,80,,4.5,2465.0
22241683,Appartement,2019-10-18,Av. du Moulin 5 | 1110 Morges,Apartment,92,Floor 8,4.5,2020.0
22240968,"VILLA CONTEMPORAINE AVEC PISCINE, VUE IMPRENABLE SUR LE LAC ET LES ...",2019-10-18,Morges | 1110 Morges,Villa,375,,7.5,9900.0
22239449,Appartement 2 1/2 pièces 3ième étages,2019-10-18,Chemin de la Burtignière 4 | 1110 Morges,Apartment,50,Floor 3,2.5,1590.0
22237351,Spacieux duplex au bord du lac de Morges - objet rare,2019-10-17,1110 Morges,Apartment,180,Floor 2,4.5,4900.0
22231395,Appartement de 3.5 pièces au 1er étage,2019-10-17,Chemin de la Brume 4 | 1110 Morges,Apartment,65,Floor 1,3.5,1680.0
22379675,Morges - 2.5p proche de la gare et des commodités.,2019-10-17,Chemin des Uttins 12bis | 1110 Morges,Apartment,51,,2.5,1650.0
22271476,Appartement de 4 pièces,2019-10-15,rue St. Louis 7 | 1110 Morges,Apartment,85,,,2000.0
22343587,Morges : Superbe Tea-room à remettre,2019-10-11,1110 Morges,Commercial property,,,,3000.0
